1,foo1,2008,G,foo1@bswsoccer.com,GU11A
2,foo2,2008,G,foo2@bswsoccer.com,GU11A
3,foo3,2008,G,foo3@bswsoccer.com,GU11A
4,foo4,2008,G,foo4@bswsoccer.com,GU11A
5,foo5,2008,G,foo5@bswsoccer.com,GU11A
6,foo6,2008,G,foo6@bswsoccer.com,GU11A
7,foo7,2008,G,foo7@bswsoccer.com,GU11A
8,foo8,2008,G,foo8@bswsoccer.com,GU11A
9,foo9,2008,G,foo9@bswsoccer.com,GU11B
10,foo10,2008,G,foo10@bswsoccer.com,GU11B
11,foo11,2008,G,foo11@bswsoccer.com,GU11B
12,foo12,2008,G,foo12@bswsoccer.com,GU11B
13,foo13,2008,G,foo13@bswsoccer.com,GU11B
14,foo14,2008,G,foo14@bswsoccer.com,GU11B
15,foo15,2008,G,foo15@bswsoccer.com,GU11B
16,foo16,2008,G,foo16@bswsoccer.com,GU11B
17,foo17,2008,G,foo17@bswsoccer.com,GU11C
18,foo18,2008,G,foo18@bswsoccer.com,GU11C
19,foo19,2008,G,foo19@bswsoccer.com,GU11C
20,foo20,2008,G,foo20@bswsoccer.com,GU11C
21,foo21,2008,G,foo21@bswsoccer.com,GU11C
22,foo22,2008,G,foo22@bswsoccer.com,GU11C
23,foo23,2008,G,foo23@bswsoccer.com,GU11C
24,foo24,2008,G,foo24@bswsoccer.com,GU11C
25,foo25,2008,G,foo25@bswsoccer.com,GU11D
26,foo26,2008,G,foo26@bswsoccer.com,GU11D
27,foo27,2008,G,foo27@bswsoccer.com,GU11D
28,foo28,2008,G,foo28@bswsoccer.com,GU11D
29,foo29,2008,G,foo29@bswsoccer.com,GU11D
30,foo30,2008,G,foo30@bswsoccer.com,GU11D
31,foo31,2008,G,foo31@bswsoccer.com,GU11D
32,foo32,2008,G,foo32@bswsoccer.com,GU11D
33,bar1,2008,B,bar1@bsw.org,BU11A
34,bar2,2008,B,bar2@bsw.org,BU11A
35,bar3,2008,B,bar3@bsw.org,BU11A
36,bar4,2008,B,bar4@bsw.org,BU11A
37,bar5,2008,B,bar5@bsw.org,BU11A
38,bar6,2008,B,bar6@bsw.org,BU11A
39,bar7,2008,B,bar7@bsw.org,BU11A
40,bar8,2008,B,bar8@bsw.org,BU11A
41,bar9,2008,B,bar9@bsw.org,BU11B
42,bar10,2008,B,bar10@bsw.org,BU11B
43,bar11,2008,B,bar11@bsw.org,BU11B
44,bar12,2008,B,bar12@bsw.org,BU11B
45,bar13,2008,B,bar13@bsw.org,BU11B
46,bar14,2008,B,bar14@bsw.org,BU11B
47,bar15,2008,B,bar15@bsw.org,BU11B
48,bar16,2008,B,bar16@bsw.org,BU11B
49,bar17,2008,B,bar17@bsw.org,BU11C
50,bar18,2008,B,bar18@bsw.org,BU11C
51,bar19,2008,B,bar19@bsw.org,BU11C
52,bar20,2008,B,bar20@bsw.org,BU11C
53,bar21,2008,B,bar21@bsw.org,BU11C
54,bar22,2008,B,bar22@bsw.org,BU11C
55,bar23,2008,B,bar23@bsw.org,BU11C
56,bar24,2008,B,bar24@bsw.org,BU11C
57,bar25,2008,B,bar25@bsw.org,BU11D
58,bar26,2008,B,bar26@bsw.org,BU11D
59,bar27,2008,B,bar27@bsw.org,BU11D
60,bar28,2008,B,bar28@bsw.org,BU11D
61,bar29,2008,B,bar29@bsw.org,BU11D
62,bar30,2008,B,bar30@bsw.org,BU11D
63,bar31,2008,B,bar31@bsw.org,BU11D
64,bar32,2008,B,bar32@bsw.org,BU11D
65,foo100,2007,G,foo100@bswclub.org,GU12A
66,foo101,2007,G,foo101@bswclub.org,GU12A
67,foo102,2007,G,foo102@bswclub.org,GU12A
68,foo103,2007,G,foo103@bswclub.org,GU12A
69,foo104,2007,G,foo104@bswclub.org,GU12A
70,foo105,2007,G,foo105@bswclub.org,GU12A
71,foo106,2007,G,foo106@bswclub.org,GU12A
72,foo107,2007,G,foo107@bswclub.org,GU12A
73,foo108,2007,G,foo108@bswclub.org,GU12B
74,foo109,2007,G,foo109@bswclub.org,GU12B
75,foo110,2007,G,foo110@bswclub.org,GU12B
76,foo111,2007,G,foo111@bswclub.org,GU12B
77,foo112,2007,G,foo112@bswclub.org,GU12B
78,foo113,2007,G,foo113@bswclub.org,GU12B
79,foo114,2007,G,foo114@bswclub.org,GU12B
80,foo115,2007,G,foo115@bswclub.org,GU12B
81,foo116,2007,G,foo116@bswclub.org,GU12C
82,foo117,2007,G,foo117@bswclub.org,GU12C
83,foo118,2007,G,foo118@bswclub.org,GU12C
84,foo119,2007,G,foo119@bswclub.org,GU12C
85,foo120,2007,G,foo120@bswclub.org,GU12C
86,foo121,2007,G,foo121@bswclub.org,GU12C
87,foo122,2007,G,foo122@bswclub.org,GU12C
88,foo123,2007,G,foo123@bswclub.org,GU12C
89,foo124,2007,G,foo124@bswclub.org,GU12D
90,foo125,2007,G,foo125@bswclub.org,GU12D
91,foo126,2007,G,foo126@bswclub.org,GU12D
92,foo127,2007,G,foo127@bswclub.org,GU12D
93,foo128,2007,G,foo128@bswclub.org,GU12D
94,foo129,2007,G,foo129@bswclub.org,GU12D
95,foo130,2007,G,foo130@bswclub.org,GU12D
96,foo131,2007,G,foo131@bswclub.org,GU12D
97,Bar200,2007,B,bar200@bsw.com,BU12A
98,Bar201,2007,B,bar201@bsw.com,BU12A
